#{"t_start": 1755535446.3198059, "env_id": "None"}
r,l,t
-2.330497,5,51.912312
2.614184,5,52.107718
-4.529111,5,52.312736
-0.95722,5,52.521093
-0.191451,5,52.764875
0.712222,5,52.942912
1.987463,5,53.217119
0.91916,5,53.527518
1.777307,5,53.774863
-4.269236,5,53.932506
-1.340305,5,54.122535
-0.357652,5,54.329192
-1.751691,5,54.541946
-1.011765,5,54.640351
0.267631,5,54.771895
-3.457875,5,55.012396
-1.530804,5,55.240584
1.90181,5,55.359782
1.67684,5,55.552745
-3.3404,5,55.770597
0.911782,5,55.880486
0.13427,5,56.029417
-1.474161,5,56.152139
-1.442278,5,56.422923
1.294173,5,56.622886
-1.473478,5,56.747526
1.680391,5,56.933671
4.160679,5,57.166244
1.031649,5,57.287939
0.06833,5,57.44851
0.539231,5,57.699189
2.839597,5,57.874398
4.605477,5,58.116322
-0.423336,5,58.387382
-3.878635,5,58.510908
-1.433225,5,58.78361
1.309962,5,58.925152
1.3981,5,59.175116
-1.846959,5,59.395149
4.034579,5,59.537891
1.757572,5,59.802445
-0.594913,5,59.930688
-0.906306,5,60.136382
-4.980706,5,60.461785
-4.244017,5,60.650638
1.945849,5,60.83312
-2.017191,5,60.998252
-1.234929,5,61.085226
1.397304,5,61.315942
-0.67676,5,61.571873
2.632691,5,61.816844
1.33683,5,61.942102
0.811746,5,62.155967
1.96616,5,62.383043
-2.668588,5,62.578192
-0.275891,5,62.675354
2.142036,5,62.782769
1.385096,5,63.0011
1.052262,5,63.201668
-0.812939,5,63.413731
1.648313,5,63.675469
0.973986,5,63.822004
1.891613,5,64.071075
-1.817359,5,64.359818
-1.349705,5,64.508265
2.753428,5,64.716877
1.816599,5,64.904025
1.5842,5,65.132986
2.494518,5,65.424985
1.461741,5,65.558072
0.188395,5,65.708348
-0.926723,5,65.895434
-0.396729,5,66.026683
0.227785,5,66.323199
1.012112,5,66.541005
-1.423083,5,66.75345
1.352623,5,66.902333
0.392677,5,67.154733
-0.006064,5,67.333157
1.509648,5,67.476062
1.330231,5,67.620414
-1.974147,5,67.877987
-0.690145,5,68.0484
4.654478,5,68.251087
2.2436,5,68.404066
0.524617,5,68.552481
-3.364955,5,68.709042
3.877962,5,68.922948
3.766682,5,69.012062
1.291415,5,69.206183
-0.8454,5,69.407338
0.305622,5,69.650895
1.867746,5,69.83198
-0.792711,5,70.091299
1.24635,5,70.275473
-0.709502,5,70.527034
0.032145,5,70.72673
2.335358,5,70.910556
0.821393,5,71.186892
0.619384,5,71.31542
-0.658321,5,71.512438
-1.22354,5,71.723937
-0.110233,5,72.024218
-2.209584,5,72.197692
0.270917,5,72.389071
-3.669342,5,72.574324
-1.52671,5,72.835947
1.183986,5,73.033945
-0.64021,5,73.338337
1.696151,5,73.671383
-4.525958,5,73.915331
-1.36601,5,74.226537
-0.987714,5,74.367683
1.676722,5,74.502948
0.549718,5,74.645687
1.551469,5,74.934218
-0.085571,5,75.075041
2.572033,5,75.337808
0.103154,5,75.530911
1.972744,5,75.719815
1.780967,5,75.966342
1.903894,5,76.159503
-4.50928,5,76.436215
4.591764,5,76.669611
1.650121,5,76.880696
0.390205,5,77.167146
-1.091348,5,77.370252
3.775033,5,77.552433
2.83317,5,77.730901
0.784199,5,78.002453
-2.50169,5,78.249536
-3.163334,5,78.511812
-3.24652,5,78.664668
2.106251,5,78.80619
-2.692012,5,78.992167
1.415952,5,79.239211
2.103016,5,79.363489
-0.229923,5,79.558385
4.020299,5,79.853121
2.530964,5,80.061092
0.057614,5,80.22398
-1.249048,5,80.457578
0.895432,5,80.627119
-0.032336,5,80.783476
-1.02593,5,81.013437
-0.091976,5,81.264385
0.827779,5,81.45563
2.102673,5,81.569746
-2.940058,5,81.825678
1.85492,5,82.148622
-1.728733,5,82.399907
-0.881439,5,82.654492
2.932191,5,82.800408
-0.526662,5,83.045453
-0.759325,5,83.152475
-3.12551,5,83.375835
-0.044403,5,83.50069
-1.428138,5,116.37872
-2.604689,5,116.458434
1.370539,5,116.747883
0.071915,5,116.940088
1.885777,5,117.054987
1.013402,5,117.226265
2.297497,5,117.489897
0.79132,5,117.657477
-1.642551,5,117.854099
0.32129,5,118.019561
-0.473382,5,118.177695
2.466447,5,118.421353
-0.403296,5,118.686698
0.605366,5,118.85492
-2.251181,5,119.058277
0.455456,5,119.270048
-2.389699,5,119.426098
-1.707457,5,119.651022
-0.687513,5,119.840536
-4.520297,5,119.971196
2.837379,5,120.124675
-0.826199,5,120.356845
0.459841,5,120.421553
-2.140295,5,120.670053
2.483345,5,120.851216
-2.43845,5,121.099044
-1.430503,5,121.288637
-6.107871,5,121.552278
-1.70478,5,121.742716
1.607601,5,121.935666
-3.055268,5,122.078121
2.915644,5,122.260016
3.408718,5,122.384752
0.52254,5,122.571073
0.35093,5,122.681287
-0.667233,5,122.771739
1.087461,5,122.912993
0.769333,5,123.071988
1.314146,5,123.202683
0.65778,5,123.408111
-4.315185,5,123.590854
0.748552,5,123.82941
2.338682,5,123.997103
-1.193376,5,124.227116
1.179868,5,124.407281
-4.336248,5,124.562102
2.629479,5,124.765489
-2.621037,5,124.884791
0.286705,5,125.057604
0.928985,5,125.245673
-0.031677,5,125.454715
1.855432,5,125.701594
0.233105,5,125.884389
1.307904,5,126.02102
-6.964415,5,126.278949
-0.712608,5,126.490075
0.346957,5,126.617236
-2.502738,5,126.828525
2.483339,5,126.977668
3.09407,5,127.137357
1.936477,5,127.347049
-1.930402,5,127.534386
-0.156621,5,127.755006
-0.256661,5,127.886963
1.535185,5,128.054427
-0.514889,5,128.284176
0.777174,5,128.398434
-1.789855,5,128.601145
-1.124711,5,128.835067
0.568587,5,129.040449
-0.104225,5,129.237335
-0.239373,5,129.454196
1.541165,5,129.711771
1.250866,5,129.934867
-1.936784,5,130.152082
2.268856,5,130.392707
2.126613,5,130.534817
-1.302179,5,130.76499
1.171621,5,131.037003
-1.030621,5,131.26549
0.996665,5,131.348201
1.607863,5,131.519503
2.151521,5,131.762648
-1.351931,5,132.046881
2.306592,5,132.272527
-2.90768,5,132.441479
1.490708,5,132.590002
3.181614,5,132.774904
-3.980085,5,132.946034
-0.987457,5,133.072469
2.230323,5,133.224435
-6.003752,5,133.409786
-2.063307,5,133.581682
-3.128693,5,133.707461
-2.185442,5,133.768925
0.923288,5,133.895346
-0.641048,5,134.091283
-4.348408,5,134.266051
1.052473,5,134.512698
-5.575564,5,134.759952
-2.626063,5,134.896084
0.383735,5,135.112181
-2.469336,5,135.246317
-3.503094,5,135.492057
1.88629,5,135.740332
0.827287,5,135.996871
0.565755,5,136.261508
-3.060935,5,136.391219
0.981998,5,136.518483
1.387635,5,136.634434
0.46697,5,136.823815
0.948322,5,136.971362
-0.253375,5,137.181322
-1.953689,5,137.427568
-1.336371,5,137.659914
-2.452085,5,137.776555
-1.427451,5,137.971822
1.37707,5,138.170607
-1.789848,5,138.449825
-1.061243,5,138.681331
-3.53734,5,138.772723
