#{"t_start": 1754422429.876378, "env_id": "None"}
r,l,t
3.079626,5,817.92706
0.027478,5,818.16537
0.783075,5,818.550154
-1.002068,5,818.840321
-2.208124,5,819.659689
0.81159,5,819.924267
0.172011,5,820.623316
-2.176163,5,820.897221
0.563326,5,821.045725
1.786492,5,821.547508
0.417589,5,821.717997
1.715448,5,822.044432
0.723519,5,822.580294
-0.664219,5,822.883358
1.112574,5,823.314292
4.08953,5,823.857683
1.600392,5,824.260459
0.723811,5,824.639438
-1.597347,5,824.882237
0.593466,5,825.410948
-0.658319,5,825.593289
1.927205,5,825.848144
1.473227,5,826.209781
3.60814,5,826.471751
2.35436,5,826.79924
2.434979,5,826.97278
3.275482,5,827.256794
0.526026,5,827.625743
1.26878,5,827.879971
1.123925,5,828.243747
-3.034687,5,828.46466
1.078069,5,828.911356
0.275389,5,829.316654
0.077928,5,829.758257
-0.646147,5,830.058067
3.097547,5,830.4557
1.121916,5,830.737309
0.668987,5,831.050514
0.571597,5,831.313139
2.996675,5,831.634233
-0.038076,5,831.993955
-2.492624,5,832.535077
0.884671,5,832.72501
-0.445371,5,832.934203
-2.044101,5,833.368212
3.454367,5,833.710601
3.235702,5,833.988069
1.546462,5,834.512138
3.168051,5,834.713265
3.551956,5,835.172782
1.676127,5,835.487527
0.114135,5,835.759664
-1.506428,5,836.091135
2.277795,5,836.316969
2.287138,5,836.480806
2.594574,5,836.672831
1.066075,5,837.007219
0.072143,5,837.269343
2.97604,5,837.466851
3.48357,5,837.7458
-0.016991,5,838.170606
2.097084,5,838.398939
1.515194,5,838.990392
1.572279,5,839.460784
3.5929,5,839.673762
-1.872433,5,839.94255
2.105733,5,840.215852
0.880002,5,840.600637
2.601986,5,841.023192
0.225651,5,841.423797
0.313054,5,841.742393
0.243765,5,842.121439
-1.916275,5,842.541689
3.497146,5,842.75136
-0.451131,5,843.084196
0.821051,5,843.477313
2.035022,5,843.591443
-4.00296,5,843.889195
-4.539122,5,844.212355
-3.908033,5,844.532208
2.073093,5,844.800552
-0.143672,5,845.067093
2.536019,5,845.217863
0.416542,5,845.465777
2.671726,5,845.788003
1.779963,5,846.13254
0.749302,5,846.460669
1.694193,5,846.736461
2.116982,5,847.027518
0.840139,5,847.396706
-0.151599,5,848.014907
-0.538947,5,848.404016
-1.724738,5,848.810437
0.241478,5,849.141942
-0.334294,5,849.526245
-1.359972,5,849.684305
1.746029,5,849.963691
1.514302,5,850.441416
-0.498402,5,850.727546
2.29444,5,850.951843
2.123145,5,851.267853
1.073579,5,851.551963
-2.117,5,852.083816
-0.114201,5,852.348624
0.545771,5,852.621598
0.285179,5,852.911597
-0.758746,5,853.173985
