#{"t_start": 1753560645.084397, "env_id": "None"}
r,l,t
0.092285,2,68.991241
0.177367,2,69.122489
-0.188275,2,69.308731
0.018856,2,69.465647
-0.495753,2,69.680723
0.065847,2,70.007484
0.310476,2,70.138776
0.377588,2,70.300694
0.199811,2,70.424374
-0.447795,2,70.578971
0.076974,2,70.77198
0.23017,2,70.972052
0.176957,2,71.155
-0.187152,2,71.307527
0.134851,2,71.489833
0.183003,2,71.652912
0.12492,2,71.846033
-0.243742,2,72.036794
-0.070366,2,72.227376
-1.146096,2,72.41097
0.019672,2,72.576602
0.102165,2,72.76768
0.180551,2,72.955243
0.124482,2,73.072055
0.013723,2,73.261587
-0.374648,2,73.433312
-0.441708,2,73.620456
-0.100556,2,73.791775
-0.528179,2,73.94065
-0.301178,2,74.117025
-0.812022,2,74.289454
0.003331,2,74.459339
0.29038,2,74.629736
0.346536,2,74.812557
-0.045976,2,74.977932
0.155302,2,75.136202
0.208202,2,75.301631
0.155017,2,75.495418
0.061412,2,75.658666
0.348339,2,75.831637
-0.202705,2,76.037311
0.329518,2,76.17399
-0.498643,2,76.395895
0.039709,2,76.588165
0.379882,2,76.760712
-0.493465,2,76.937297
0.043396,2,77.124121
0.319352,2,77.338386
-0.329076,2,77.530424
0.214721,2,77.718131
0.442243,2,77.911472
0.038903,2,78.065003
-0.179225,2,78.276399
0.248604,2,78.447764
0.211197,2,78.637284
0.375009,2,78.844894
-0.049827,2,79.091604
0.26361,2,79.227696
-0.160226,2,79.516505
-0.068906,2,79.686377
-0.611002,2,79.853554
0.115098,2,79.962046
0.09596,2,80.189711
0.158064,2,80.413769
0.129013,2,80.599299
-0.26537,2,80.749955
0.32168,2,80.992049
0.14799,2,81.126713
-0.55279,2,81.447663
-0.164664,2,81.701245
0.231449,2,82.018418
0.119403,2,82.528036
0.264305,2,82.804395
0.163763,2,82.983557
-0.262228,2,83.249009
0.241333,2,83.50054
-0.408966,2,83.642636
-0.474824,2,83.792377
-0.079957,2,83.881222
-0.288306,2,84.063515
-0.08922,2,84.16303
-0.010196,2,84.464832
0.00981,2,84.578586
0.011408,2,84.743002
-0.416906,2,84.832522
0.146266,2,84.926798
0.203675,2,85.06321
0.263633,2,85.248644
0.205689,2,85.341116
0.100009,2,85.477195
-0.077796,2,85.591498
-0.637141,2,85.775687
0.124134,2,86.038401
0.302431,2,86.277917
0.157186,2,86.508004
-0.215697,2,86.678514
0.15827,2,86.83816
-0.726382,2,87.030064
-0.163303,2,87.231377
-0.81225,2,87.501722
-0.155025,2,87.696291
0.209615,2,87.881466
-0.069799,2,88.078996
0.21196,2,88.26005
0.071133,2,88.457507
0.181088,2,88.678447
-0.210031,2,88.864088
-0.068537,2,89.038368
-0.15498,2,89.219198
0.008091,2,89.410219
-0.015533,2,89.57085
-0.018628,2,89.763251
0.005904,2,89.93108
0.23521,2,90.104556
-0.244393,2,90.294433
0.44112,2,90.455119
0.151417,2,90.665413
-0.07471,2,90.868449
0.232247,2,91.03429
0.250471,2,91.201195
0.035451,2,91.401653
0.31735,2,91.495792
0.179436,2,91.731479
0.40593,2,91.941551
0.212361,2,92.178279
0.334189,2,92.341093
0.408504,2,92.487035
0.405034,2,92.611831
0.269022,2,92.799711
0.071289,2,92.981828
0.211396,2,93.14568
-0.133051,2,93.329787
0.322866,2,93.517989
0.266789,2,93.787642
-0.053415,2,93.926286
-0.049319,2,94.096267
0.348889,2,94.208941
0.168069,2,94.352521
0.181353,2,94.49924
0.095255,2,94.673102
0.378823,2,94.848917
-0.325725,2,94.990672
0.28932,2,95.162959
0.028099,2,95.254209
0.354298,2,95.442632
-0.004913,2,95.546083
-0.680266,2,95.65263
0.140213,2,95.757994
0.091035,2,95.86789
0.261009,2,96.067877
0.150656,2,96.180705
0.055341,2,96.291397
0.169377,2,96.411043
0.084538,2,96.506752
0.317817,2,96.677555
-0.078804,2,96.796369
0.413889,2,96.935416
0.072284,2,97.132967
0.182531,2,97.307565
0.096032,2,97.535548
0.040774,2,97.627827
-0.228597,2,97.75838
-0.022585,2,97.876726
0.267879,2,98.052573
0.062834,2,98.26105
0.297962,2,98.516293
0.060238,2,98.627252
-0.051269,2,98.737314
0.002719,2,98.847209
-0.028121,2,98.981527
-0.057381,2,99.074618
-0.158588,2,99.183115
0.230698,2,99.291359
0.086675,2,99.402637
0.140254,2,99.507291
0.05725,2,99.655561
-0.057762,2,99.761733
0.085681,2,99.870674
0.066099,2,99.979055
-0.115769,2,100.088196
0.114081,2,100.259867
0.434849,2,100.462045
-0.025833,2,100.574811
0.385876,2,100.743184
0.315869,2,100.891164
-0.023655,2,101.000134
0.005799,2,101.133408
-0.933457,2,101.243098
0.321441,2,101.391891
0.006481,2,101.499591
0.211082,2,101.665685
0.096011,2,101.813776
0.312004,2,101.944257
-0.164464,2,102.051181
0.178807,2,102.159332
0.255576,2,102.330207
0.344367,2,102.4403
0.228589,2,102.568239
0.292291,2,102.665415
0.166293,2,102.772582
0.118489,2,102.882867
0.167036,2,102.987438
-0.053285,2,103.119546
-0.139041,2,103.227822
0.111412,2,103.333738
-0.03129,2,103.442266
-0.026511,2,103.546506
0.236255,2,103.688098
-0.221586,2,103.820858
0.180843,2,103.994065
-0.103509,2,104.170354
0.204115,2,104.278047
-0.165859,2,104.381988
0.213922,2,104.569065
0.11965,2,104.702039
-0.199606,2,104.813183
0.194343,2,104.962543
0.112381,2,105.069393
-0.015217,2,105.251488
-0.047789,2,105.394719
0.062408,2,105.501554
0.171046,2,105.609657
0.435014,2,105.719764
0.174678,2,105.831007
0.236918,2,106.103506
0.168501,2,106.216003
0.143666,2,106.339455
-0.333571,2,106.448314
0.35309,2,106.579306
0.123356,2,106.68772
0.339535,2,106.818809
0.02362,2,106.925662
0.378155,2,107.060539
-0.056776,2,107.167551
0.405625,2,107.322972
0.005195,2,107.427733
0.091813,2,107.53634
-0.41941,2,107.641122
0.198407,2,107.83689
0.086693,2,107.94929
-0.027613,2,108.045983
0.37554,2,108.152745
-0.028659,2,108.284935
0.263424,2,108.392761
0.170243,2,108.497743
0.112941,2,108.603826
0.144492,2,108.736326
0.055674,2,108.845072
0.065711,2,108.950868
-0.141966,2,109.055481
0.062402,2,109.18771
0.288146,2,109.290251
0.147397,2,109.450474
0.150511,2,109.542104
-0.055964,2,109.670783
0.082214,2,109.778375
0.061514,2,109.884861
-0.108856,2,109.993507
0.425579,2,110.101054
0.312706,2,110.232798
0.090196,2,110.340171
0.061723,2,110.445622
0.171427,2,110.552706
0.398043,2,110.683914
0.050062,2,110.791507
0.03104,2,110.900725
0.311111,2,111.074348
-0.061772,2,111.20807
0.257273,2,111.317642
-0.140424,2,111.423805
0.116078,2,111.534029
0.319161,2,111.665194
-0.056984,2,111.76622
-0.067336,2,111.896224
0.225859,2,112.006251
-0.049678,2,112.149388
0.20384,2,112.306465
0.213185,2,112.468296
-0.167066,2,112.573318
0.204339,2,112.704819
0.341789,2,112.876755
0.1387,2,112.983424
0.228057,2,113.113139
0.114304,2,113.262087
-0.079537,2,113.367055
0.064019,2,113.498278
0.139989,2,113.605346
0.195062,2,113.735058
0.031656,2,113.842782
0.2614,2,113.950082
0.285696,2,114.057887
0.20397,2,114.226707
-0.340363,2,114.337086
0.228355,2,114.51569
0.092711,2,114.623155
0.031276,2,114.750619
0.058684,2,114.916744
0.347965,2,115.080311
0.384144,2,115.257396
0.196607,2,115.387964
-0.05424,2,115.49543
0.261724,2,115.603069
-0.256104,2,115.724734
0.115501,2,115.856814
0.182925,2,115.98192
-0.020082,2,116.172286
0.30836,2,116.346385
0.317873,2,116.47487
0.325921,2,116.629352
0.317488,2,116.734688
0.088552,2,116.838378
0.112993,2,116.969083
0.221916,2,117.075427
0.203378,2,117.18263
0.200118,2,117.294949
0.118295,2,117.428603
0.026673,2,117.537738
-0.760163,2,117.647436
0.002184,2,117.8207
0.139279,2,117.950864
0.028004,2,118.061349
0.257934,2,118.167865
-0.000881,2,118.277063
0.194243,2,118.410446
0.141257,2,118.547263
0.178207,2,118.656913
0.2494,2,118.764741
0.202189,2,118.929422
-0.001633,2,119.037016
0.370336,2,119.141312
-0.107294,2,119.399131
0.270192,2,119.567767
0.175812,2,119.700467
0.178776,2,119.809711
0.181439,2,119.912236
0.083365,2,120.043294
0.054147,2,120.151289
0.092346,2,120.25722
0.343718,2,120.358504
0.201168,2,120.533337
0.286701,2,120.643402
-0.298617,2,120.829028
0.411067,2,121.033707
0.401153,2,121.208096
-0.07078,2,121.415496
0.042829,2,121.608136
-0.329574,2,121.777575
0.400634,2,121.990986
0.314817,2,122.127477
0.227587,2,122.290855
0.208509,2,122.435621
0.184958,2,122.655329
0.311686,2,122.796299
0.2976,2,122.991915
0.149297,2,123.230707
0.290103,2,123.430591
-0.042128,2,123.632264
0.156033,2,123.803612
-0.067247,2,123.976396
0.095196,2,124.213725
0.072625,2,124.420975
0.267525,2,124.610596
0.158379,2,124.809236
0.071031,2,124.982067
-0.124575,2,125.190335
-0.419244,2,125.298414
0.376704,2,125.533994
-0.353868,2,125.764258
0.177088,2,125.901717
0.073898,2,126.093261
-0.014639,2,126.280321
0.182268,2,126.491589
0.159858,2,126.657254
0.096475,2,126.845868
-0.114689,2,126.9655
0.093937,2,127.131695
0.181763,2,127.329619
0.182344,2,127.499174
-0.044469,2,127.664819
0.224071,2,127.794758
-0.11651,2,127.902689
0.228365,2,128.011263
0.127906,2,128.165929
-0.381201,2,128.36943
-0.141937,2,128.476793
0.366177,2,128.611594
0.085184,2,128.723662
0.265615,2,128.939678
-0.141055,2,129.109516
-0.087533,2,129.216065
0.121582,2,129.388773
0.168944,2,129.518849
0.145357,2,129.629712
0.236165,2,129.780776
0.112637,2,129.894399
0.178324,2,130.023511
0.003964,2,130.132367
0.23215,2,130.221701
-0.236607,2,130.342809
0.233482,2,130.532891
-0.023269,2,130.641877
-0.649545,2,130.733346
0.33923,2,130.867296
0.239808,2,130.975122
0.176726,2,131.079165
-0.054124,2,131.18721
-0.253443,2,131.341107
-0.275641,2,131.43071
-0.177259,2,131.535509
-0.024128,2,131.668548
0.340225,2,131.832266
0.236597,2,131.943215
0.141498,2,132.075858
0.006058,2,132.183761
-0.027297,2,132.276445
0.258293,2,132.407498
-0.012049,2,132.51488
0.176208,2,132.643653
0.225968,2,132.776261
-0.165721,2,132.881085
0.197487,2,132.990183
-0.043679,2,133.186602
-0.52413,2,133.393757
0.339138,2,133.484534
0.313681,2,133.587997
-0.138766,2,133.723658
0.221322,2,133.828894
0.002648,2,133.924629
0.397371,2,134.038472
-0.161993,2,134.146398
-0.163497,2,134.25463
0.055744,2,134.387905
0.05817,2,134.560921
0.061019,2,134.655092
0.410112,2,134.790397
0.19654,2,134.920188
0.31665,2,135.031767
0.118835,2,135.143198
0.10993,2,135.275066
0.112329,2,135.380946
0.056199,2,135.490288
-0.002343,2,135.621974
-0.106843,2,135.79369
0.170903,2,135.898957
0.031055,2,136.027358
0.008003,2,136.120295
-0.109594,2,136.234032
0.17569,2,136.342262
0.004727,2,136.455088
0.271322,2,136.576901
-0.047431,2,136.771817
-0.158002,2,136.904065
0.119168,2,136.99813
0.310092,2,137.152677
0.055311,2,137.240555
0.265509,2,137.361653
0.058424,2,137.517811
0.403273,2,137.650106
0.089239,2,137.837771
-0.153732,2,138.00244
-0.184974,2,138.145813
0.414662,2,138.279603
-0.12513,2,138.435873
0.060307,2,138.647042
0.407134,2,138.760062
-0.442583,2,138.907103
0.097409,2,139.081434
0.054347,2,139.188374
0.268607,2,139.308827
0.291528,2,139.420572
0.078627,2,139.511909
-0.24926,2,139.600615
0.223218,2,139.728805
0.237172,2,139.936223
0.058947,2,140.028929
0.131816,2,140.170133
-0.198213,2,140.259665
0.181993,2,140.409392
0.000617,2,140.520696
0.199843,2,140.61972
-0.170422,2,140.728784
-0.109916,2,140.841607
0.061111,2,140.935646
0.033522,2,141.027182
0.322098,2,141.256673
-0.169154,2,141.34488
-0.252063,2,141.433663
0.376939,2,141.587854
0.430551,2,141.685107
0.20756,2,141.772722
0.033409,2,141.919023
-0.19948,2,142.052033
0.177847,2,142.234655
0.048335,2,142.382239
0.230302,2,142.614175
0.237889,2,142.810395
-0.02074,2,142.90854
0.401106,2,143.057816
0.315656,2,143.164836
0.000598,2,143.267427
0.20315,2,143.381805
0.314629,2,143.514381
0.430248,2,143.604817
-0.472491,2,143.69739
0.232409,2,143.913844
-0.027722,2,144.007075
0.013388,2,144.126673
0.350091,2,144.315585
0.113453,2,144.403296
-0.142794,2,144.514373
-0.228598,2,144.641457
-0.088681,2,144.734704
