#{"t_start": 1753971910.623863, "env_id": "None"}
r,l,t
0.160552,1,10.035076
-0.048197,1,10.03846
0.468492,1,10.057748
0.009625,1,10.066402
0.11195,1,10.134211
0.202373,1,10.160608
0.636711,1,10.180388
0.316194,1,10.197537
0.389265,1,10.214857
-0.078302,1,10.219392
0.1877,1,10.221494
0.083944,1,10.262298
-0.158065,1,10.267519
-0.135043,1,10.286792
0.071556,1,10.310516
0.123176,1,10.321672
0.038237,1,10.410041
0.000254,1,10.420123
-0.069954,1,10.505488
-0.331687,1,10.529708
0.367149,1,10.548884
0.453013,1,10.565169
0.236922,1,10.723689
0.232781,1,10.727092
0.316628,1,10.74889
-0.050939,1,10.752889
-0.362689,1,10.812526
0.336669,1,10.875552
0.14347,1,10.878355
-0.291596,1,10.940943
-0.246585,1,10.950091
0.116272,1,10.951243
0.174183,1,10.956133
0.136772,1,10.957851
0.660716,1,10.975467
0.248931,1,11.04501
0.345259,1,11.070329
0.084718,1,11.076353
-0.280745,1,11.084895
-0.154523,1,11.114124
0.150137,1,11.115757
0.193818,1,11.256035
0.302854,1,11.258825
0.173607,1,11.273748
0.171492,1,11.277752
0.019766,1,11.285141
-0.23891,1,11.297234
0.168018,1,11.316673
0.418245,1,11.319914
0.121085,1,11.409718
0.176639,1,11.431271
0.194269,1,11.445725
-0.056419,1,11.467962
-0.109665,1,11.48396
-0.017913,1,11.494867
-0.027959,1,11.513606
0.167241,1,11.53325
0.06776,1,11.535963
0.031234,1,11.550405
-0.229463,1,11.573413
-0.112781,1,11.574879
0.235207,1,11.611292
-0.336604,1,11.612612
0.160132,1,11.623716
0.327253,1,11.642519
-0.117321,1,11.660392
-0.236053,1,11.671385
0.20825,1,11.680625
-0.175402,1,11.695039
-0.097275,1,11.71162
0.253107,1,11.78195
0.535986,1,11.800526
0.407384,1,11.814244
0.204655,1,11.847992
0.142494,1,11.871679
0.073451,1,11.945395
0.09976,1,11.959156
0.267403,1,11.961476
-0.014538,1,11.962666
-0.440105,1,11.984502
0.262445,1,11.993034
-0.159039,1,11.998709
-0.210439,1,12.009624
-0.063723,1,12.01301
-0.02915,1,12.014952
-0.100186,1,12.020556
0.26974,1,12.283903
0.266888,1,12.318092
0.114732,1,12.48492
0.179969,1,12.512462
0.272401,1,12.530588
0.130568,1,12.533498
0.388806,1,12.556528
0.049045,1,12.600967
-0.155355,1,12.604299
0.500107,1,12.618217
-0.053196,1,12.622057
-0.002997,1,12.625916
-0.200133,1,12.644914
0.181568,1,12.804138
0.589272,1,12.818869
0.006184,1,12.835425
0.305276,1,12.839871
0.435529,1,12.897386
0.335131,1,12.914364
-0.051935,1,12.936413
0.189156,1,13.178339
0.044441,1,13.1847
-0.177045,1,13.20965
-0.160069,1,13.214935
-0.200129,1,13.222363
-0.024071,1,13.229967
0.483323,1,13.238066
-0.04213,1,13.239307
0.060429,1,13.241097
0.005969,1,13.256855
-0.04159,1,13.331442
0.009769,1,13.418576
0.296602,1,13.550919
0.04742,1,13.570944
0.197573,1,13.603423
0.198429,1,13.623676
0.166549,1,13.644573
0.371861,1,13.673516
0.077674,1,13.69559
-0.042527,1,13.807892
-0.122786,1,13.836039
0.127896,1,13.845807
-0.300966,1,13.8517
0.180663,1,13.959868
0.399008,1,13.980983
0.046481,1,13.989377
0.231789,1,13.991565
-0.167495,1,14.009426
0.091226,1,14.072149
0.077989,1,14.079736
0.119955,1,14.095696
-0.001092,1,14.100571
-0.118284,1,14.128902
0.141782,1,14.154968
0.110636,1,14.163381
-0.188259,1,14.195107
-0.053947,1,14.197523
0.271027,1,14.250389
0.187963,1,14.268102
-0.002132,1,14.270647
0.389438,1,14.277355
0.338684,1,14.281828
0.000388,1,14.283392
0.261597,1,14.394147
0.133451,1,14.400283
-0.030675,1,14.428322
0.243851,1,14.44753
0.016667,1,14.471991
-0.074931,1,14.480138
0.133761,1,14.494385
-0.003926,1,14.497992
0.371439,1,14.509903
-0.322449,1,14.536273
-0.014114,1,14.541499
0.039811,1,14.559166
0.195233,1,14.697934
0.422473,1,14.710598
0.346298,1,14.7236
0.810687,1,14.738605
0.031877,1,14.745352
0.208585,1,14.753569
-0.060696,1,14.766011
0.365778,1,14.778571
0.534472,1,14.812551
0.152725,1,14.835216
0.277269,1,14.85014
0.01677,1,14.852536
0.267897,1,14.882365
-0.121489,1,14.888496
0.080083,1,14.89288
-0.007283,1,14.920997
0.307742,1,14.942129
0.097857,1,14.982148
0.454085,1,15.000495
0.140746,1,15.002635
-0.148541,1,15.01691
0.004519,1,15.254867
-0.057907,1,15.342474
0.002698,1,15.352068
0.039017,1,15.363046
0.017624,1,15.445383
0.170979,1,15.465878
-0.088172,1,15.467645
0.061011,1,15.48838
0.260775,1,15.491017
0.635397,1,15.496006
0.479756,1,15.514097
-0.176073,1,15.542528
-0.326629,1,15.56113
0.168306,1,15.562094
0.300325,1,15.569752
0.231754,1,15.637186
-0.215848,1,15.664845
0.071443,1,15.672245
0.659457,1,15.683912
-0.143128,1,15.818302
0.169284,1,15.84219
0.052991,1,15.851307
0.236747,1,16.015302
0.036662,1,16.020554
0.286687,1,16.024717
0.1411,1,16.040878
0.25026,1,16.052813
0.071777,1,16.059039
0.07864,1,16.145908
-0.022546,1,16.155258
0.167879,1,16.187567
-0.147267,1,16.198967
0.171548,1,16.215149
0.14493,1,16.229645
0.068269,1,16.23544
0.040887,1,16.2543
0.498652,1,16.266358
0.134105,1,16.280021
0.159039,1,16.413627
0.079718,1,16.423852
-0.104899,1,16.435487
0.395238,1,16.472078
0.116063,1,16.498963
0.14966,1,16.526204
-0.187918,1,16.578925
0.145942,1,16.639299
-0.087887,1,16.644452
0.154618,1,16.646559
0.182151,1,16.664063
0.262374,1,16.68506
0.691736,1,16.69881
0.082232,1,16.721198
0.048551,1,16.723011
0.084699,1,16.739155
0.166643,1,16.74506
0.039885,1,16.811901
0.530606,1,16.83253
0.410752,1,16.841834
0.149475,1,16.848301
0.385946,1,16.867855
0.076374,1,16.871838
-0.005685,1,16.873128
-0.0593,1,17.115237
-0.052782,1,17.156797
-0.071342,1,17.179041
0.213597,1,17.198247
0.244533,1,17.204417
0.131685,1,17.211018
-0.032007,1,17.223488
-0.245493,1,17.249407
-0.095231,1,17.252817
0.473669,1,17.264375
-0.188524,1,17.286145
0.117285,1,17.310446
-0.307351,1,17.319172
0.029609,1,17.334766
0.314599,1,17.351892
-0.375151,1,17.364753
0.256088,1,17.381745
0.068821,1,17.586868
0.384301,1,17.600279
0.107173,1,17.621103
-8.3e-05,1,17.645761
0.403556,1,17.653967
0.202966,1,17.672031
0.147202,1,17.685854
0.339483,1,17.690146
0.38902,1,17.696402
-0.06047,1,17.718956
0.276725,1,17.72039
0.091718,1,17.766553
0.172336,1,17.77168
-0.055992,1,17.783374
0.386779,1,17.790866
0.197789,1,17.809767
0.492256,1,17.819127
-0.253207,1,17.827558
0.212731,1,17.830384
0.027048,1,17.849223
-0.080368,1,17.867614
0.048189,1,17.883258
0.097442,1,17.891045
-0.156248,1,17.905185
-0.250075,1,17.925221
0.368456,1,17.944189
0.160451,1,17.950085
0.151283,1,17.978651
0.116979,1,18.005886
-0.044929,1,18.010071
0.043205,1,18.148861
0.271217,1,18.160932
0.367585,1,18.181926
0.181968,1,18.189768
0.171991,1,18.322412
0.490929,1,18.329643
-0.049489,1,18.443618
0.493295,1,18.445886
-0.05316,1,18.450556
-0.311264,1,18.470684
0.53672,1,18.487031
0.022691,1,18.505317
0.417322,1,18.514167
-0.036915,1,18.520406
-0.029438,1,18.548583
-0.059645,1,18.566272
