#{"t_start": 1755724147.0414, "env_id": "None"}
r,l,t
-3.317653,5,53.904499
-10.819412,5,54.009513
-0.804713,5,54.180432
-6.599121,5,54.309846
-7.029367,5,54.599393
-5.208975,5,54.775712
-3.210482,5,55.015642
-4.297951,5,55.190416
-9.58691,5,55.395016
-6.001413,5,55.629943
0.736977,5,55.839466
-12.346697,5,56.004875
0.704379,5,56.297319
1.102458,5,56.624616
-5.796556,5,56.866657
-2.602403,5,57.031942
-9.66699,5,57.19513
-6.300355,5,57.410693
-0.842401,5,57.637927
-9.070075,5,57.757258
-0.859118,5,57.93903
-2.732645,5,58.143016
-0.979967,5,58.358323
-5.227702,5,58.464944
-7.11073,5,58.678515
-4.118014,5,58.897116
2.197026,5,59.001082
-4.499343,5,59.14511
0.180877,5,59.301513
0.35674,5,59.56614
-7.996614,5,59.844591
-8.325741,5,59.976532
-2.485834,5,60.171916
-6.074589,5,60.421081
-14.730878,5,60.536528
-2.607117,5,60.746157
-2.354605,5,61.049243
-2.121955,5,61.252434
-9.725597,5,61.479837
-1.703265,5,61.750525
-4.938259,5,61.894887
-3.622387,5,62.231116
-10.797466,5,62.360464
3.097697,5,62.618141
-2.204971,5,62.880074
-5.955977,5,63.012487
-3.160945,5,63.260747
-9.461312,5,63.376294
-6.706437,5,63.572255
-1.815146,5,63.893835
-4.640759,5,64.084743
-7.82574,5,64.305796
-3.418891,5,64.516972
-3.817982,5,64.636532
-6.92427,5,64.88169
1.25828,5,65.160276
-11.720654,5,65.386397
-3.947742,5,65.517237
-6.90492,5,65.891349
1.391363,5,66.154712
-9.544224,5,66.396998
-2.304127,5,66.513857
-15.575417,5,66.607261
1.336461,5,66.851347
-2.524699,5,67.048382
-2.707855,5,67.311456
-0.877021,5,67.599274
-7.183043,5,67.770572
-5.642287,5,68.014311
-3.796643,5,68.312105
0.230056,5,68.453042
-2.055247,5,68.62141
-13.065876,5,68.793901
-3.214977,5,69.038752
-2.752605,5,69.326509
-2.694181,5,69.596768
-5.564407,5,69.769904
-0.179547,5,69.925709
-9.910602,5,70.057755
-1.503375,5,70.380666
-9.820206,5,70.562921
-5.614845,5,70.806782
-2.19189,5,70.958686
-7.948043,5,71.210767
-3.520099,5,71.392932
-7.231817,5,71.542327
-6.858515,5,71.730565
0.132184,5,71.999892
-6.160187,5,72.175522
-10.188406,5,72.35473
-7.526023,5,72.523758
-7.438892,5,72.646502
-8.387108,5,72.794275
1.240907,5,73.018552
-8.043132,5,73.11371
-9.901165,5,73.302387
-14.936979,5,73.508293
-8.749937,5,73.84906
-4.745066,5,74.025494
-6.208229,5,74.268635
-0.464201,5,74.446496
-12.388483,5,74.722843
-6.747725,5,74.910136
-9.239455,5,75.095224
-9.177521,5,75.307941
-12.782781,5,75.422029
-3.095866,5,75.624788
-12.02333,5,75.788742
-11.884756,5,76.314936
-6.231728,5,76.524789
-6.900688,5,76.74154
-4.189827,5,76.918062
-0.456001,5,77.221547
-2.864968,5,77.45183
-3.24039,5,77.745718
-1.569537,5,78.13339
-2.876437,5,78.375085
-3.25495,5,78.672581
-11.188377,5,78.787505
-5.137322,5,78.923296
-2.000157,5,79.05081
-4.401817,5,79.380504
-4.443447,5,79.513711
-5.044664,5,79.753248
-7.988852,5,79.920911
-13.457843,5,80.157076
-4.345815,5,80.46734
-2.291491,5,80.648709
-3.942166,5,80.907567
-10.551772,5,81.133147
-9.358825,5,81.453574
-4.105091,5,81.745948
2.694444,5,81.937853
-10.013842,5,82.103958
-6.031459,5,82.284853
-4.734962,5,82.585448
-1.949981,5,82.826429
-0.614005,5,83.060408
-1.388862,5,83.223295
-4.998502,5,83.371551
-4.918253,5,83.534827
-6.53205,5,83.696355
-9.284458,5,83.804215
0.367818,5,83.995702
2.297891,5,84.272086
-4.476027,5,84.477201
-10.438424,5,84.608311
-7.226031,5,84.861024
-13.964654,5,85.041497
1.833078,5,85.224045
-5.805311,5,85.460408
-4.105409,5,85.695474
-1.752607,5,85.849984
-5.509975,5,85.951387
-5.414096,5,86.186008
-6.150016,5,86.481625
-3.637866,5,86.694739
-3.811406,5,86.965254
1.515764,5,87.097439
-2.18053,5,87.354162
-7.708144,5,87.463773
0.57732,5,87.689622
1.74081,5,87.813429
-2.945816,5,120.67538
-0.97802,5,120.872474
2.195965,5,121.228484
-5.075514,5,121.431873
-2.00934,5,121.57687
0.49766,5,121.7571
-3.92106,5,122.010316
-5.416598,5,122.196328
-13.346209,5,122.4449
-2.539917,5,122.672365
-2.907983,5,122.891888
-0.225342,5,123.130907
-1.716503,5,123.457467
-5.703409,5,123.642975
-6.502691,5,123.842925
1.892017,5,124.073743
-3.55644,5,124.294525
-5.089155,5,124.756338
-2.292394,5,125.035598
-2.031149,5,125.187653
-8.800234,5,125.420662
-8.383219,5,125.72311
-12.152472,5,125.837392
-5.534138,5,126.220685
-4.952421,5,126.471167
-2.5997,5,126.800743
2.109879,5,127.08404
-6.557315,5,127.423501
-5.253696,5,127.664131
-7.405024,5,127.886946
-1.511166,5,128.034485
-7.83597,5,128.265811
-0.292254,5,128.402217
-13.525841,5,128.644755
-4.251868,5,128.81166
-5.708179,5,128.923688
-2.27559,5,129.108107
-7.126351,5,129.272937
