unc1,unc2,unc3,threshold,optimal_numg0
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.3,3428.917867988284
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.35,3428.917867988284
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.4,3428.917867988284
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.45,2921.9310640814792
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.5,2252.959580568725
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.55,1719.8631453759228
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.6,1299.8446028040269
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.65,972.6263597918842
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.7,713.3698431328681
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.75,512.8585109428291
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.8,350.7241440199136
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.85,225.87912250203328
0.4056994708920292,0.06854582438651502,0.8621408571954849,0.9,127.7403898460288
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.3,105.63608215665951
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.35,105.63608215665951
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.4,105.63608215665951
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.45,98.49443016194631
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.5,78.25713442308428
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.55,61.55924226442852
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.6,48.91088652373189
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.65,38.09183672539902
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.7,29.07852705779708
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.75,21.75840239619708
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.8,15.642631884188171
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.85,10.59095145243378
0.08597086585842195,0.6616126907308237,0.11632735383158599,0.9,6.359819522601832
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.3,144.02688737091955
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.35,144.02688737091955
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.4,144.02688737091955
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.45,132.95357405128274
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.5,104.58498557711422
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.55,82.26946350420168
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.6,64.71545210740304
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.65,49.89895197340787
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.7,37.712816617181744
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.75,27.938341703236507
0.1093856021447891,0.7020044441837296,0.2895098423219379,0.8,20.085536923187668
